,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Literacy_rate
101,Chhattisgarh,Koriya,23.504127768595012,82.12515636363634,400,658917,1667,0.6037528247108513
102,Chhattisgarh,Mahasamund,21.223727037773358,82.65925427435384,411,1032754,961,0.6177298756528661
103,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,0.636980717330306
104,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,0.7364642016551515
105,Maharashtra,Raigarh,18.453257637845976,73.00906094185791,403,1493984,3342,0.636980717330306
106,Maharashtra,Raigarh,18.453257637845976,73.00906094185791,520,2634200,38570,0.7364642016551515
107,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,0.6471042887177549
108,Chhattisgarh,Surguja,23.327192787286073,83.23582493887531,401,2359886,2737,0.5033891467638691
109,Daman and Diu,Daman,20.431616666666674,72.83923660714291,495,191173,1316,0.7864499693994444
110,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,0.6718056550988997
111,Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,0.6718056550988997
112,Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,0.8105788696443067
113,Goa,South Goa,15.195278658183785,73.94179259687701,586,640537,17624,0.7843840402662141
114,Gujarat,Ahmadabad,22.605425564971746,72.23898135593227,474,7214225,126341,0.7534780243200067
115,Gujarat,Amreli,21.048326493108718,71.43457637825426,480,1514190,2538,0.6574201388200952
116,Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,0.7412527565470232
117,Gujarat,Banas Kantha,24.25853896551725,71.93205252873561,469,3120506,3424,0.5463610709288814
118,Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,0.7209943914291186
119,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,0.6552138357465113
120,Gujarat,Gandhinagar,23.19367979002625,72.67221679790026,473,1391753,12107,0.7404287973512541
121,Gujarat,Jamnagar,22.410600414263328,69.62062005768232,477,2160119,11573,0.6465079007221362
122,Gujarat,Kachchh,23.48057203301311,68.82192301497915,468,2092371,9631,0.5985167066452365
123,Gujarat,Kheda,22.887653125000018,73.018803515625,483,2299885,5710,0.7218808766525283
124,Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,0.7383772697074883
125,Gujarat,Narmada,21.706663862928334,73.68403208722742,487,590297,576,0.6273723227460075
126,Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,0.7535008633708162
127,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,0.6026516076788457
128,Gujarat,Patan,23.80634198473284,71.75162977099238,470,1343734,2231,0.623570587631183
129,Gujarat,Porbandar,21.550923516515713,69.71896987722886,478,585449,1653,0.6724377358232742
130,Gujarat,Rajkot,22.406033777154878,70.83679439383323,476,3804558,21785,0.7162608639426709
